Sampling rate 50 Hz,,,,,
Mouse 1,Mouse 1,Mouse 2,Mouse 2,Mouse 3,Mouse 3
Run1,Run1,Run1,Run1,Run1,Run1
"5 min baseline, handmotion","5 min baseline, handmotion","5 min baseline, handmotion","5 min baseline, handmotion","5 min baseline, handmotion","5 min baseline, handmotion"
465nm,405nm,465nm,405nm,465nm,405nm
1.5829796,1.1575519,1.3984555,1.2470304,1.3790213,1.1250603
1.5798417,1.1642325,1.4035165,1.2480426,1.4079702,1.1158493
1.6046406,1.1575519,1.3912688,1.2532048,1.3936982,1.1398385
1.5945187,1.1761764,1.4020995,1.247334,1.3662676,1.1281981
1.5960369,1.170002,1.4008847,1.2630231,1.4112092,1.1307286
1.5747807,1.1568434,1.4044275,1.2428803,1.4009861,1.1344738
1.5843966,1.1757715,1.3977469,1.2497634,1.3869164,1.1362957
1.6013004,1.1752654,1.4040226,1.2584683,1.4062494,1.1332592
1.5775137,1.1586653,1.4040226,1.2562414,1.3749725,1.1310322
1.5631405,1.1613983,1.3976457,1.248245,1.3956214,1.1376116
1.583182,1.1623093,1.3948116,1.2567475,1.3898518,1.1094724
1.5904698,1.1729374,1.3937994,1.2358962,1.3896494,1.1245542
1.5740722,1.1590703,1.3970385,1.2538122,1.3862079,1.1382189
1.6051468,1.1517824,1.4001763,1.2512816,1.3891432,1.1191895
1.5924942,1.1679776,1.3947104,1.2569499,1.3932933,1.1280969
1.588243,1.1653459,1.3953177,1.2488524,1.3896494,1.1348786
1.5775137,1.1559324,1.4005811,1.2508768,1.3757823,1.1362957
1.5962394,1.1586653,1.3995689,1.249561,1.391775,1.1338664
1.6007943,1.1641312,1.4052373,1.2414633,1.3952165,1.1301214
1.5779185,1.164941,1.3911676,1.2504718,1.372948,1.1182785
1.5775137,1.1617019,1.4007835,1.250978,1.3637371,1.1342713
1.5989723,1.1484421,1.3962287,1.2425767,1.3916738,1.1287042
1.5944175,1.1531994,1.3990629,1.2364023,1.3973421,1.1469238
1.5925955,1.1573495,1.4082738,1.2569499,1.3853981,1.1421665
1.5954297,1.1595763,1.3897506,1.2426779,1.377503,1.1486446
1.5725539,1.1590703,1.4024031,1.2603915,1.3704176,1.1256676
1.5948223,1.1592727,1.4067556,1.2593793,1.388536,1.1217201
1.6053492,1.1565397,1.4032129,1.2628207,1.3814505,1.1315384
1.5946199,1.171419,1.3961275,1.2599865,1.3815517,1.1388263
1.5944175,1.1671678,1.4017957,1.2488524,1.3768957,1.132753
1.5863198,1.1560336,1.3943055,1.2508768,1.3965323,1.1216189
1.5981625,1.1521872,1.4067556,1.2504718,1.3814505,1.1270847
1.5944175,1.1518836,1.4023019,1.2512816,1.3695066,1.1130152
1.590571,1.1572483,1.3923823,1.2585695,1.364648,1.1303238
1.5944175,1.1537056,1.4057434,1.2410585,1.3893458,1.1251615
1.5947211,1.168585,1.3940018,1.2463219,1.3731505,1.1263762
1.5895588,1.1605885,1.3947104,1.2557353,1.3681908,1.1225297
1.6041346,1.1754678,1.3944067,1.2408559,1.3570565,1.1171651
1.5950247,1.1535032,1.4090836,1.2519902,1.3809445,1.134575
1.5893564,1.1593739,1.4027067,1.246828,1.3784139,1.1192907
1.5997821,1.1543128,1.3924836,1.2582659,1.3710248,1.145608
1.5912796,1.1588678,1.4088812,1.2538122,1.369203,1.1277932
1.6003894,1.1518836,1.4103994,1.264339,1.3750737,1.1293116
1.6042358,1.1560336,1.403719,1.2463219,1.3700126,1.123542
1.5965431,1.1625117,1.4093872,1.2479414,1.3801347,1.1352835
1.5751857,1.1593739,1.4079702,1.2555329,1.3769969,1.1224285
1.5852064,1.1574507,1.3902566,1.2442975,1.3718346,1.1335628
1.587332,1.1587665,1.3987591,1.2522938,1.3844872,1.123542
1.5890528,1.1648397,1.3953177,1.250067,1.3810457,1.1220237
1.5946199,1.1603861,1.3991641,1.247334,1.3839811,1.1292104
1.5862186,1.1668642,1.3998725,1.2429816,1.3776042,1.1298176
1.6067662,1.1613983,1.4077678,1.2516866,1.3985567,1.1212139
1.6039321,1.1663581,1.4045287,1.2503706,1.3800335,1.1274896
1.606665,1.1680788,1.4017957,1.2563426,1.3826652,1.1225297
1.6114224,1.171824,1.3923823,1.252395,1.3766932,1.127186
1.6114224,1.1726336,1.4059458,1.251484,1.3793249,1.1247567
1.5937089,1.171419,1.3847908,1.2567475,1.3776042,1.126275
1.5955309,1.1638275,1.4047312,1.2517878,1.3877262,1.1258701
1.5871296,1.1542116,1.3875238,1.249156,1.3830701,1.1335628
1.5890528,1.1561348,1.3979495,1.2511804,1.367381,1.1261737
1.587737,1.1702044,1.4067556,1.2562414,1.3840823,1.1102822
1.6002882,1.165852,1.3878274,1.2502694,1.3827664,1.1258701
1.6009967,1.1596775,1.395925,1.2521926,1.3895482,1.1315384
1.5963407,1.1673703,1.3977469,1.2432853,1.3870176,1.1400409
1.5955309,1.1560336,1.3957226,1.2526988,1.391775,1.1407495
1.5956321,1.1487458,1.409286,1.2470304,1.3794261,1.1246554
1.5887492,1.1633215,1.4001763,1.2577597,1.3821591,1.1412555
1.6036285,1.16403,1.3947104,1.2416657,1.3859042,1.1242505
1.6042358,1.1689898,1.3977469,1.2452084,1.3820579,1.1315384
1.606159,1.1608921,1.4017957,1.2565451,1.3767945,1.1213151
1.6081834,1.1559324,1.4044275,1.239034,1.3681908,1.1409519
1.594215,1.1660544,1.4019982,1.2537109,1.3850945,1.1241493
1.590571,1.1541104,1.4008847,1.2552292,1.3841835,1.1069419
1.5855101,1.1650422,1.3900542,1.2578609,1.3809445,1.132247
1.6021101,1.1591715,1.3964311,1.2503706,1.3912688,1.1237445
1.5963407,1.1639287,1.3971397,1.246828,1.389042,1.13002
1.6063614,1.1669654,1.3949128,1.2485487,1.3736566,1.1251615
1.587332,1.1599813,1.3797299,1.2428803,1.372037,1.1431787
1.604337,1.1664593,1.3992653,1.2530024,1.3785151,1.1320444
1.5848016,1.1680788,1.3967348,1.2489536,1.3711262,1.1141286
1.5970491,1.1598799,1.3992653,1.2612011,1.3897506,1.138725
1.5860162,1.1638275,1.3815517,1.2461194,1.3667736,1.1321456
1.6022114,1.1692934,1.3929896,1.2510792,1.3875238,1.1256676
1.6097016,1.1550214,1.3974433,1.2535084,1.3869164,1.1269835
1.5972517,1.1508714,1.394103,1.2537109,1.3862079,1.1220237
1.6057541,1.1635239,1.4089824,1.2529012,1.3864104,1.1231371
1.5981625,1.1696984,1.3957226,1.2458158,1.3831713,1.1280969
1.5928991,1.165852,1.3914714,1.252395,1.3828677,1.1140273
1.5983651,1.1613983,1.3994677,1.2478402,1.385803,1.1364982
1.5952272,1.1519848,1.3939006,1.2506744,1.4020995,1.1205055
1.6004907,1.1652447,1.3929896,1.2557353,1.3975445,1.1319432
