Sampling rate 20 Hz,,,,,,,,,
,Mouse 1,Mouse 1,Mouse 1,Mouse 2,Mouse 2,Mouse 2,Mouse 3,Mouse 3,Mouse 3
,Run 1,Run 1,Run 1,Run 1,Run 1,Run 1,Run 1,Run 1,Run 1
,"10s ON, 50 s OFF","10s ON, 50 s OFF","10s ON, 50 s OFF","10s ON, 50 s OFF","10s ON, 50 s OFF","10s ON, 50 s OFF","10s ON, 50 s OFF","10s ON, 50 s OFF","10s ON, 50 s OFF"
Time,465nm,405nm,Stim,465nm,405nm,Stim,465nm,405nm,Stim
97,1.7730707,1.6416872,FALSE,1.8146721,1.3450114,FALSE,1.7360243,1.532572,FALSE
98,1.7683134,1.6351079,FALSE,1.8355235,1.3472382,FALSE,1.7240802,1.5369245,FALSE
99,1.7647707,1.6304518,FALSE,1.8185185,1.3448089,FALSE,1.731773,1.5390501,FALSE
100,1.7676048,1.6512018,FALSE,1.8140649,1.3518944,FALSE,1.7440206,1.5276122,FALSE
101,1.787444,1.6341969,FALSE,1.8138624,1.3504772,FALSE,1.7263072,1.5276122,FALSE
102,1.7816744,1.6318688,FALSE,1.8114331,1.3602955,FALSE,1.7297486,1.5403659,FALSE
103,1.7715524,1.6436104,FALSE,1.806271,1.3615103,FALSE,1.7206388,1.5290294,FALSE
104,1.764872,1.6365249,FALSE,1.8294502,1.3640407,FALSE,1.7291412,1.5172879,FALSE
105,1.7547499,1.6303506,FALSE,1.8372443,1.3542224,FALSE,1.7266108,1.5274098,FALSE
106,1.7696292,1.6217469,FALSE,1.8125465,1.3570565,FALSE,1.7361255,1.5402647,FALSE
107,1.770439,1.6134468,FALSE,1.8063722,1.3643444,FALSE,1.7370365,1.5340903,FALSE
108,1.7815732,1.6307554,FALSE,1.8316771,1.3551334,FALSE,1.7327852,1.5372281,FALSE
109,1.7610255,1.6367275,FALSE,1.8300576,1.3562468,FALSE,1.7377449,1.5353049,FALSE
110,1.7752975,1.6284274,FALSE,1.825604,1.3470358,FALSE,1.7534341,1.5248793,FALSE
111,1.761228,1.6275164,FALSE,1.83026,1.3638383,FALSE,1.7444255,1.5395561,FALSE
112,1.7751963,1.6375371,FALSE,1.825199,1.3762883,FALSE,1.7342023,1.5180975,FALSE
113,1.7969587,1.6492786,FALSE,1.8258064,1.3569553,FALSE,1.7544463,1.5357099,FALSE
114,1.7780305,1.635614,FALSE,1.8262112,1.3611053,FALSE,1.7333925,1.5301428,FALSE
115,1.7706414,1.6333871,FALSE,1.8148746,1.3594859,FALSE,1.7346071,1.5470464,FALSE
116,1.7826866,1.6468494,FALSE,1.8319808,1.3551334,FALSE,1.7204363,1.5395561,FALSE
117,1.7783341,1.6150663,FALSE,1.8280332,1.3529065,FALSE,1.7251937,1.5350013,FALSE
118,1.7752975,1.6311603,FALSE,1.8196319,1.3505784,FALSE,1.7462474,1.5521075,FALSE
119,1.7731719,1.6291358,FALSE,1.8166965,1.3708224,FALSE,1.7114278,1.5327744,FALSE
120,1.7715524,1.6324762,FALSE,1.8217576,1.3626237,FALSE,1.7397693,1.5420867,FALSE
121,1.7692244,1.631464,FALSE,1.8165953,1.361409,FALSE,1.747462,1.5353049,FALSE
122,1.7751963,1.6372335,FALSE,1.8217576,1.3451126,FALSE,1.7345059,1.5322684,FALSE
123,1.7739817,1.646242,FALSE,1.8285393,1.3584737,FALSE,1.7254974,1.5243732,FALSE
124,1.7604183,1.6092968,FALSE,1.827932,1.3467321,FALSE,1.7324815,1.550488,FALSE
125,1.7632524,1.6375371,FALSE,1.8142673,1.3680896,FALSE,1.7383523,1.5413781,FALSE
126,1.7778281,1.6438128,FALSE,1.8291466,1.3576639,FALSE,1.7220559,1.5461355,FALSE
127,1.7528267,1.6497848,FALSE,1.8197331,1.3569553,FALSE,1.7388583,1.5317622,FALSE
128,1.765378,1.6387517,FALSE,1.8390661,1.3482504,FALSE,1.7204363,1.5448196,FALSE
129,1.7786379,1.6416872,FALSE,1.8215551,1.3557407,FALSE,1.7435145,1.547755,FALSE
130,1.7591023,1.6392579,FALSE,1.8328917,1.3538175,FALSE,1.7080874,1.5252842,FALSE
131,1.7569767,1.639764,FALSE,1.8273246,1.3573602,FALSE,1.7383523,1.5341915,FALSE
132,1.7821805,1.6246822,FALSE,1.8179111,1.3631297,FALSE,1.7406803,1.5378355,FALSE
133,1.7525231,1.633792,FALSE,1.8181137,1.3533114,FALSE,1.7381499,1.5323696,FALSE
134,1.7676048,1.6528214,FALSE,1.8403821,1.3574615,FALSE,1.7266108,1.5352037,FALSE
135,1.7810671,1.6465458,FALSE,1.8145709,1.3535138,FALSE,1.7413889,1.531155,FALSE
136,1.7720585,1.6416872,FALSE,1.8211502,1.3588785,FALSE,1.7441218,1.5548404,FALSE
137,1.7734756,1.6365249,FALSE,1.8276284,1.3711262,FALSE,1.7323803,1.5375319,FALSE
138,1.7676048,1.633792,FALSE,1.7969587,1.3549309,FALSE,1.7598109,1.5501842,FALSE
139,1.7628475,1.647153,FALSE,1.8202393,1.3714298,FALSE,1.7516121,1.5473502,FALSE
140,1.762139,1.6292372,FALSE,1.8413942,1.3609029,FALSE,1.7383523,1.5332806,FALSE
141,1.7611268,1.6246822,FALSE,1.8190246,1.3627249,FALSE,1.7454376,1.5346977,FALSE
142,1.7756013,1.6432055,FALSE,1.8197331,1.3637371,FALSE,1.7518145,1.5210329,FALSE
143,1.7907842,1.6216456,FALSE,1.8144697,1.3719358,FALSE,1.746045,1.5394549,FALSE
144,1.7709451,1.6223541,FALSE,1.8378515,1.3519956,FALSE,1.7486768,1.5329769,FALSE
145,1.7668964,1.6379421,FALSE,1.8292478,1.3432906,FALSE,1.7375425,1.5494758,FALSE
146,1.7659854,1.6479628,FALSE,1.8365357,1.3696078,FALSE,1.7237766,1.5283208,FALSE
147,1.7663902,1.6312615,FALSE,1.8223649,1.3493638,FALSE,1.7244852,1.542694,FALSE
148,1.765378,1.6495824,FALSE,1.8307661,1.3524004,FALSE,1.7332913,1.5271062,FALSE
149,1.7626451,1.6291358,FALSE,1.8308674,1.3515906,FALSE,1.7335949,1.5392525,FALSE
